IDM accuracy,IDM loss,RND loss,actor_episodes,actor_steps,extrinsic UVFA loss,intrinsic UVFA loss,learner_steps,learner_time_elapsed
0.75625,0.7873432,0.00017012387,84492,15991417,7.444765e-05,12.456181,11318,5976.498505353928
0.71250004,0.8986983,0.00016465111,84495,15992068,9.847562e-05,16.53701,11319,5976.878727912903
0.746875,0.8221642,0.00016885363,84496,15992238,9.362954e-05,17.729666,11320,5977.600739955902
0.7625,0.75281495,0.00016794851,84497,15992295,6.663655e-05,10.861725,11321,5978.016626119614
0.69375,0.89700633,0.00013772612,84498,15992340,5.680738e-05,9.954676,11322,5978.7488758563995
0.740625,0.76745147,0.00017341225,84498,15992340,7.832984e-05,13.378862,11323,5978.970236778259
0.71250004,0.97145176,0.00014037045,84508,16002363,7.2963456e-05,12.086845,11324,5979.2249710559845
0.753125,0.820332,0.00017935965,84509,16002703,7.670191e-05,12.712294,11325,5979.405353307724
0.75937504,0.76307344,0.0001595987,84512,16002949,8.934819e-05,11.8351145,11326,5980.931178331375
0.7,0.9013268,0.00014818167,84512,16002949,0.000109474655,20.881783,11327,5982.048058986664
0.709375,0.926963,0.0001746976,84514,16003149,0.00010556139,14.383815,11328,5982.39280295372
0.740625,0.7302848,0.00016585604,84514,16003149,9.713564e-05,22.8997,11330,5983.837848901749
0.75937504,0.7521,0.00017030395,84518,16004898,8.7282126e-05,10.637394,11331,5984.151185035706
0.771875,0.6979422,0.00016562275,84519,16005077,8.252082e-05,13.550997,11332,5984.603608131409
0.753125,0.7787346,0.00017690868,84521,16005498,0.0001054022,17.651375,11333,5985.3485741615295
0.671875,0.9103981,0.00015526272,84525,16005878,0.00012322955,20.534824,11334,5985.989409446716
0.7375,0.8206202,0.00018633809,84526,16005921,7.0035865e-05,12.595686,11335,5986.400607585907
0.75,0.81662637,0.00017082765,84528,16006068,0.00016856837,26.530231,11336,5987.039748430252
0.7,0.8516098,0.00018231908,84530,16008147,5.0897776e-05,10.419385,11337,5987.484680175781
0.771875,0.78964424,0.00015104949,84530,16008147,0.00010605634,22.030949,11338,5987.623264551163
0.73125,0.8137261,0.0001451001,84533,16008426,0.00010744994,20.863104,11339,5988.055979013443
0.715625,0.8576304,0.00014434168,84541,16011329,0.000116207055,15.872135,11340,5988.910349607468
0.75625,0.8199825,0.00016006369,84552,16013481,5.918301e-05,10.464317,11341,5989.301765918732
0.71875,0.9174593,0.00015836513,84552,16013481,0.00013005629,17.644398,11344,5990.504151582718
0.725,0.8783638,0.00018217035,84552,16013481,0.0001469496,19.137787,11345,5992.0500020980835
0.721875,0.80567473,0.00015217489,84553,16014882,7.326879e-05,15.334841,11346,5993.415160894394
0.709375,0.89519304,0.0001593838,84553,16014882,0.0009040444,12.586556,11348,5994.523316383362
0.746875,0.7867424,0.00015642917,84554,16015049,0.0002574217,17.4446,11349,5995.542101621628
0.79375,0.60960686,0.00016940829,84557,16016047,6.131133e-05,13.288696,11350,5996.003964662552
0.75,0.7410971,0.00018110946,84563,16017236,9.036616e-05,15.637541,11351,5996.6021502017975
0.753125,0.7691041,0.00015161613,84564,16021360,0.0001396882,25.941978,11352,5996.922754526138
0.70625,0.9490947,0.00016470136,84568,16022123,9.541839e-05,17.86313,11353,5997.130308866501
0.80625004,0.69115657,0.00013769168,84571,16026866,0.00016353783,28.078228,11354,5997.325622081757
0.75937504,0.8064272,0.00016685641,84571,16026866,8.6475724e-05,16.431637,11355,5998.197393894196
0.753125,0.6958783,0.00014519987,84573,16028967,8.8907895e-05,18.378185,11356,5998.490261554718
0.72812504,0.7915064,0.00015266448,84581,16030688,5.825996e-05,9.552238,11357,5999.260949850082
0.7375,0.8830647,0.00013234727,84581,16030688,8.027976e-05,12.45086,11358,5999.409455299377
0.7625,0.7805886,0.00015486176,84581,16030688,9.593142e-05,17.226727,11359,5999.637674808502
0.721875,0.87351364,0.00019018017,84587,16035154,0.000103417304,18.384972,11360,6000.371157646179
0.765625,0.76424795,0.00015606555,84590,16035724,7.797967e-05,12.339624,11362,6001.035936594009
0.765625,0.69524664,0.00016655048,84590,16035724,0.0001419421,27.494934,11363,6001.871661424637
0.753125,0.87874377,0.00014981418,84590,16035724,4.310925e-05,8.453618,11364,6002.064100265503
0.659375,0.9852295,0.00019263815,84593,16035963,0.00012663059,16.067532,11365,6002.399976491928
0.74375004,0.84420437,0.0001713554,84600,16043446,7.971265e-05,20.952408,11366,6003.095862150192
