IDM accuracy,IDM loss,RND loss,actor_episodes,actor_steps,evaluator_episodes,evaluator_steps,extrinsic UVFA loss,intrinsic UVFA loss,learner_steps,learner_time_elapsed
0.621875,1.0109156,0.00021773738,174652,74788915,1679,1213207,0.00558321,22.066185,55784,27481.377061843872
0.56875,1.0613068,0.0001978069,174652,74788915,1679,1213207,0.007398743,20.927753,55785,27481.711008787155
0.60625,1.0679518,0.0001896158,174655,74793901,1679,1213207,0.007365047,21.789524,55786,27482.637445688248
0.58125,1.0569428,0.0001985925,174661,74798429,1679,1213207,0.0065663503,24.734245,55787,27483.990889310837
0.559375,1.0907707,0.00018070974,174662,74798742,1679,1213207,0.008079581,11.078821,55789,27485.47461462021
0.628125,0.98013985,0.00021393756,174662,74798742,1679,1213207,0.0074578403,46.02186,55792,27486.548617839813
0.66562504,0.9605352,0.00019060074,174662,74798742,1679,1213207,0.005202636,12.39011,55793,27486.965608358383
0.596875,1.133906,0.00020493664,174663,74798890,1679,1213207,0.0067757964,19.939753,55794,27487.257793664932
0.6,1.0277194,0.00017850993,174665,74805922,1679,1213207,0.004005159,22.749027,55795,27487.599873304367
0.5375,1.1706334,0.0001865741,174665,74805922,1679,1213207,0.011492388,32.02755,55796,27487.934107780457
0.659375,1.00955,0.00023582247,174665,74805922,1679,1213207,0.003232175,13.384171,55797,27489.248034000397
0.60312504,1.0898751,0.000213853,174665,74805922,1679,1213207,0.005448088,36.274757,55798,27490.213746786118
0.596875,1.0745454,0.0002051177,174670,74821399,1679,1213207,0.005698519,28.96437,55799,27491.19148826599
0.51875,1.1770166,0.00015240838,174673,74824584,1679,1213207,0.008572454,17.274351,55801,27492.0414955616
0.628125,0.9460522,0.00021084065,174673,74824584,1679,1213207,0.0046834024,34.458344,55802,27492.957879304886
0.6125,1.0203019,0.00013050936,174674,74824854,1679,1213207,0.005408671,10.926493,55803,27493.169796943665
0.61875004,1.074429,0.00018254216,174674,74824854,1679,1213207,0.0057432386,28.906906,55804,27493.427368164062
0.65625,0.9203806,0.00015061106,174674,74824854,1679,1213207,0.007364849,33.139046,55805,27493.569687843323
0.66562504,0.99612695,0.0001761756,174674,74824854,1679,1213207,0.006165522,19.608334,55806,27494.03883433342
0.578125,1.1381028,0.00018071097,174678,74833862,1679,1213207,0.0052538887,22.782906,55807,27494.506486415863
0.675,0.91931623,0.00017730515,174678,74833862,1679,1213207,0.0055322624,39.722237,55808,27494.830448627472
0.57187504,1.0933775,0.00018102334,174681,74835361,1680,1214974,0.007508645,25.178549,55809,27495.170098781586
0.54062504,1.1710442,0.00019025839,174683,74836734,1680,1214974,0.005910691,16.564468,55810,27495.3406996727
0.590625,1.0174533,0.00013665203,174686,74838243,1680,1214974,0.006981262,17.002558,55812,27496.022033929825
0.609375,1.0382252,0.00017994887,174686,74838243,1680,1214974,0.0033704308,28.782473,55813,27496.684467077255
0.621875,0.9895822,0.00023250333,174686,74838243,1680,1214974,0.0039414237,24.834723,55814,27496.95377254486
0.6625,0.9652981,0.00018272041,174686,74838243,1680,1214974,0.0025575531,27.144566,55815,27497.373658657074
0.6375,1.0013758,0.00016111547,174690,74840183,1680,1214974,0.0053096185,18.851242,55816,27497.561923742294
0.615625,0.9919755,0.00021797609,174690,74840183,1680,1214974,0.0101228,53.90744,55817,27497.92680835724
0.628125,0.9718977,0.00019569602,174690,74840183,1680,1214974,0.0035576029,14.495613,55818,27498.2344121933
0.50937504,1.1119856,0.0002232404,174692,74847328,1680,1214974,0.013427915,39.075764,55819,27498.683652877808
0.61875004,0.9746248,0.00016828404,174698,74862077,1680,1214974,0.0061183507,18.407658,55820,27499.400955677032
0.58750004,1.0475619,0.00025520596,174698,74862077,1680,1214974,0.004860997,17.683813,55822,27500.55351305008
0.590625,1.1341171,0.00021538456,174700,74862838,1680,1214974,0.0038234245,17.347374,55826,27501.69379758835
0.596875,0.99746096,0.0002198206,174702,74869767,1680,1214974,0.0058654947,24.553658,55827,27502.963411092758
0.621875,1.0143721,0.00019960605,174702,74869767,1680,1214974,0.0068136305,29.875906,55828,27503.33929014206
0.625,0.958676,0.00019170044,174703,74869836,1680,1214974,0.0057476847,18.710403,55829,27503.52213358879
0.6125,1.0768604,0.00022802711,174705,74876367,1680,1214974,0.0069260877,41.128597,55830,27503.753132104874
0.58125,1.0452181,0.00020871781,174705,74876367,1680,1214974,0.005021305,20.516306,55831,27504.004581212997
0.60625,1.1599921,0.00019128426,174706,74876978,1680,1214974,0.0036501277,20.998363,55832,27504.524713993073
0.6625,0.9671236,0.0002524098,174708,74877479,1680,1214974,0.0038925444,56.801907,55833,27504.96349978447
0.60625,0.9960394,0.00019158085,174710,74879214,1680,1214974,0.004761515,31.468088,55834,27505.211423397064
0.5625,1.1215001,0.00018042327,174712,74879667,1680,1214974,0.006266592,22.065697,55835,27505.823845863342
0.640625,0.9829613,0.00027227277,174712,74879667,1680,1214974,0.003338098,22.997555,55836,27506.522411108017
0.65000004,1.0374346,0.00027517148,174714,74882923,1680,1214974,0.00492338,19.00204,55837,27507.12923526764
0.59375,1.012544,0.0001800576,174716,74883229,1680,1214974,0.0074390885,29.875484,55839,27507.70933032036
0.63437504,0.9755778,0.00018373456,174716,74883229,1680,1214974,0.01069235,36.864098,55840,27508.02698636055
0.575,1.0979077,0.00022905144,174719,74890502,1680,1214974,0.0036226711,16.611347,55841,27508.281787633896
0.625,1.0476875,0.00028515316,174720,74890656,1680,1214974,0.005194328,31.309837,55842,27508.490892887115
0.63437504,0.9677707,0.00017285648,174720,74890656,1680,1214974,0.0052280417,26.761736,55843,27509.18560194969
0.65000004,1.0008042,0.00019542896,174722,74893240,1680,1214974,0.00563341,44.019073,55844,27509.410467386246
0.63125,1.0455637,0.00023038038,174726,74894848,1680,1214974,0.008109567,60.58119,55845,27509.77604007721
0.58125,1.0483232,0.0001810885,174729,74898085,1680,1214974,0.0051461,24.708595,55846,27510.534539937973
0.565625,1.0891088,0.00019512822,174730,74899018,1680,1214974,0.0062246146,53.134556,55847,27511.07923936844
0.57187504,1.1106886,0.00019159858,174732,74900648,1680,1214974,0.008184694,18.292694,55848,27511.936681509018
0.4875,1.1658547,0.000170004,174735,74901527,1680,1214974,0.0059604086,18.101452,55849,27512.294506788254
0.575,1.1427625,0.00025414646,174742,74908558,1680,1214974,0.00540992,19.86547,55850,27512.57024025917
0.57187504,1.0432452,0.00017611629,174749,74913220,1680,1214974,0.0042486703,20.537994,55851,27513.363914966583
0.65000004,0.98808366,0.00019933449,174750,74913496,1680,1214974,0.005635323,40.39793,55854,27515.087027072906
0.578125,1.1352857,0.0002278741,174750,74913496,1680,1214974,0.003183342,12.107381,55858,27516.291738510132
0.56875,1.1300218,0.00017920857,174758,74921463,1680,1214974,0.006927717,17.87049,55861,27518.096090078354
0.609375,0.9942852,0.00021757456,174758,74921463,1680,1214974,0.004516313,24.441296,55863,27519.36904501915
0.690625,0.85430634,0.00025620076,174758,74921463,1680,1214974,0.008607585,45.161865,55864,27519.831144332886
0.575,1.072389,0.00022498959,174763,74922811,1680,1214974,0.008135304,41.894638,55865,27519.963485956192
0.615625,0.99567646,0.00015240833,174770,74924437,1680,1214974,0.0089010075,22.011368,55866,27521.444987773895
0.565625,1.037022,0.00022058851,174771,74925040,1680,1214974,0.004789155,19.779165,55867,27521.990935325623
0.58750004,1.0236498,0.00017446226,174771,74925040,1680,1214974,0.0046077925,18.171871,55868,27522.362571001053
0.6625,0.9617373,0.00020769924,174771,74925040,1680,1214974,0.006462084,21.453844,55869,27522.71372294426
0.478125,1.159715,0.0002272434,174771,74925040,1680,1214974,0.009512048,24.727646,55870,27522.999250888824
0.60625,1.0243927,0.00016610268,174772,74925554,1680,1214974,0.004281573,23.10186,55871,27523.345769166946
0.578125,1.1072686,0.00017330724,174774,74925785,1680,1214974,0.0051741144,62.41726,55873,27524.36435008049
0.625,1.0873721,0.00033194694,174776,74926098,1680,1214974,0.0032502078,23.93961,55875,27525.612648010254
0.609375,1.095199,0.000260273,174777,74929309,1680,1214974,0.0035553384,17.010706,55876,27526.14154601097
